date,site,Borough,Pathway,NMCTR external delay,Total external delay days
07/06/2024,UHL,Bexley,Pathway 3,3,13
07/06/2024,UHL,Greenwich,Pathway 0,1,3
07/06/2024,UHL,Greenwich,Pathway 1,3,8
07/06/2024,UHL,Greenwich,Pathway 2,2,7
07/06/2024,UHL,Greenwich,Pathway 3,3,13
07/06/2024,UHL,Lewisham,Pathway 0,8,29
07/06/2024,UHL,Lewisham,Pathway 1,9,36
07/06/2024,UHL,Lewisham,Pathway 2,6,21
07/06/2024,UHL,Lewisham,Pathway 3,15,68
07/06/2024,UHL,Other,Pathway 0,1,5
07/06/2024,UHL,Other,Pathway 1,1,5
07/06/2024,UHL,Other,Pathway 2,2,5
07/06/2024,UHL,Other,Pathway 3,1,4
08/06/2024,QEH,Bexley,Pathway 0,6,18
08/06/2024,QEH,Bexley,Pathway 1,4,14
08/06/2024,QEH,Bexley,Pathway 2,3,14
08/06/2024,QEH,Bexley,Pathway 3,11,53
08/06/2024,QEH,Greenwich,Pathway 0,4,9
08/06/2024,QEH,Greenwich,Pathway 1,4,15
08/06/2024,QEH,Greenwich,Pathway 2,9,46
08/06/2024,QEH,Greenwich,Pathway 3,8,44
08/06/2024,QEH,Other,Pathway 2,2,10
08/06/2024,UHL,Bexley,Pathway 0,1,3
08/06/2024,UHL,Bexley,Pathway 1,2,11
08/06/2024,UHL,Bexley,Pathway 3,3,16
08/06/2024,UHL,Greenwich,Pathway 0,1,4
08/06/2024,UHL,Greenwich,Pathway 1,3,11
08/06/2024,UHL,Greenwich,Pathway 2,2,9
08/06/2024,UHL,Greenwich,Pathway 3,3,16
08/06/2024,UHL,Lewisham,Pathway 0,7,33
08/06/2024,UHL,Lewisham,Pathway 1,8,41
08/06/2024,UHL,Lewisham,Pathway 2,6,27
08/06/2024,UHL,Lewisham,Pathway 3,15,83
08/06/2024,UHL,Other,Pathway 0,1,6
08/06/2024,UHL,Other,Pathway 1,1,6
08/06/2024,UHL,Other,Pathway 2,2,7
08/06/2024,UHL,Other,Pathway 3,1,5
09/06/2024,QEH,Bexley,Pathway 0,6,24
09/06/2024,QEH,Bexley,Pathway 1,3,15
09/06/2024,QEH,Bexley,Pathway 2,3,17
09/06/2024,QEH,Bexley,Pathway 3,11,64
09/06/2024,QEH,Greenwich,Pathway 0,4,13
09/06/2024,QEH,Greenwich,Pathway 1,3,15
09/06/2024,QEH,Greenwich,Pathway 2,9,55
09/06/2024,QEH,Greenwich,Pathway 3,8,52
09/06/2024,QEH,Other,Pathway 2,2,12
09/06/2024,UHL,Bexley,Pathway 0,1,4
09/06/2024,UHL,Bexley,Pathway 1,2,13
09/06/2024,UHL,Bexley,Pathway 3,3,19
09/06/2024,UHL,Greenwich,Pathway 0,1,5
09/06/2024,UHL,Greenwich,Pathway 1,3,14
09/06/2024,UHL,Greenwich,Pathway 2,2,11
09/06/2024,UHL,Greenwich,Pathway 3,3,19
09/06/2024,UHL,Lewisham,Pathway 0,7,40
09/06/2024,UHL,Lewisham,Pathway 1,8,49
09/06/2024,UHL,Lewisham,Pathway 2,6,33
09/06/2024,UHL,Lewisham,Pathway 3,15,98
09/06/2024,UHL,Other,Pathway 0,1,7
09/06/2024,UHL,Other,Pathway 1,1,7
09/06/2024,UHL,Other,Pathway 2,2,9
09/06/2024,UHL,Other,Pathway 3,1,6
10/06/2024,QEH,Bexley,Pathway 0,1,7
10/06/2024,QEH,Bexley,Pathway 1,4,17
10/06/2024,QEH,Bexley,Pathway 2,7,41
10/06/2024,QEH,Bexley,Pathway 3,11,67
10/06/2024,QEH,Greenwich,Pathway 0,3,9
10/06/2024,QEH,Greenwich,Pathway 1,9,27
10/06/2024,QEH,Greenwich,Pathway 2,10,54
10/06/2024,QEH,Greenwich,Pathway 3,9,58
10/06/2024,QEH,Other,Pathway 2,3,17
10/06/2024,UHL,Bexley,Pathway 1,3,9
10/06/2024,UHL,Bexley,Pathway 3,4,29
10/06/2024,UHL,Greenwich,Pathway 1,2,11
10/06/2024,UHL,Greenwich,Pathway 3,3,23
10/06/2024,UHL,Lewisham,Pathway 0,6,30
10/06/2024,UHL,Lewisham,Pathway 1,7,45
